ALL         |All                                                                                                                                                                                                                                                            |CEAPP                         |2008-12-03 11:50:23.000000                                                 |2008-12-03 11:50:23.117282                                                 |CEAPP
CLD         |Child                                                                                                                                                                                                                                                          |CEAPP                         |2008-12-03 11:50:23.000000                                                 |2008-12-03 11:50:23.195167                                                 |CEAPP
ADT         |Adult                                                                                                                                                                                                                                                          |CEAPP                         |2008-12-03 11:50:23.000000                                                 |2008-12-03 11:50:23.261552                                                 |CEAPP
